County,Ofc-TBJ,Ofc-Und,Ofc-Ovr,Ofc-Oth,Ofc-BC,RLA-TBJ,RLA-Und,RLA-Ovr,RLA-Oth,RLA-BC,RLA-InvW,RLA-ValW,Δ-TBJ,Δ-Und,Δ-Ovr,Δ-Oth,Δ-BC
Schley,2275,9,0,0,2284,2275,6,0,3,2284,3,0,0,-3,0,3,0
Screven,6628,15,4,14,6661,6631,17,1,12,6661,10,2,3,2,-3,-2,0
Stephens,11885,28,0,36,11949,11886,27,1,35,11949,0,35,1,-1,1,-1,0
Stewart,1990,14,2,0,2006,1990,13,2,1,2006,0,1,0,-1,0,1,0
Taliaferro,928,3,0,3,934,928,3,0,3,934,3,0,0,0,0,0,0
Tattnall,8183,17,0,11,8211,8184,18,6,3,8211,1,2,1,1,6,-8,0
Telfair,4333,20,0,1,4354,4334,14,1,5,4354,5,0,1,-6,1,4,0
Terrell,4416,21,0,0,4437,4416,16,0,5,4437,5,0,0,-5,0,5,0
Tift,16283,67,0,1,16351,16282,41,2,26,16351,23,3,-1,-26,2,25,0
Towns,7979,37,0,0,8016,7979,26,1,10,8016,3,7,0,-11,1,10,0
Treutlen,3077,14,0,4,3095,3077,12,1,5,3095,5,0,0,-2,1,1,0
Troup,30049,125,0,10,30184,30056,68,0,60,30184,47,13,7,-57,0,50,0
Turner,3792,17,0,0,3809,3792,12,0,5,3809,5,0,0,-5,0,5,0
Twiggs,4444,14,0,0,4458,4445,9,0,4,4458,4,0,1,-5,0,4,0
Union,15560,53,0,32,15645,15562,64,1,18,15645,9,9,2,11,1,-14,0
Ware,14192,61,0,0,14253,14193,35,3,22,14253,16,6,1,-26,3,22,0
Warren,2651,12,0,0,2663,2650,9,0,4,2663,4,0,-1,-3,0,4,0
Webster,1390,10,0,0,1400,1391,9,0,0,1400,0,0,1,-1,0,0,0
Wheeler,2285,11,0,2,2298,2285,11,0,2,2298,2,0,0,0,0,0,0
Worth,9285,30,0,0,9315,9287,20,7,1,9315,1,0,2,-10,7,1,0
